NAME,ratio,pct_<hs,pct_hs,pct_some_col,pct_ba,pct_grad,geoid
"Schoharie County, New York",0.47,10.382710490769924,36.94281855020261,30.38271049076992,12.877082395317425,9.414678072940116,36095
"Onondaga County, New York",1.03,9.295503361232726,25.26785318287514,29.980865366947775,19.836658662223037,15.619119426721326,36067
"Clinton County, New York",0.46,12.115587582341595,37.31302543945846,27.66495614513957,11.604250827965206,11.30218000509517,36019
"Seneca County, New York",0.42,14.562754505503367,34.93529008587671,29.613353223400395,12.034834495827118,8.853767689392413,36099
"Putnam County, New York",1.17,7.042874619477084,26.922529801701327,26.165751514979092,22.76451677145865,17.104327292383854,36079
"Franklin County, New York",0.38,13.175297018605695,37.6064783680789,29.788724501232906,9.434543824254652,9.994956287827842,36033
"Ontario County, New York",1.03,6.575963718820861,26.76127922433341,32.16175359032502,18.910782703886152,15.590220762634555,36069
"Queens County, New York",0.68,18.458915259838083,27.584105995665315,22.43095849005258,19.91749764313691,11.60852261130711,36081
"Steuben County, New York",0.49,10.006023299886879,37.37237215178716,29.5141694457095,11.927602873554775,11.179832229061686,36101
"Hamilton County, New York",0.42,17.449095022624434,28.478506787330314,34.81334841628959,8.880090497737557,10.3789592760181,36041
"Washington County, New York",0.4,12.308481455875466,38.16097593612703,29.121969713865166,11.576975400878698,8.831597493253641,36115
"Chautauqua County, New York",0.46,11.111976674308353,35.858799439115046,31.303834939571324,12.04010772552249,9.685281221482784,36013
"Kings County, New York",0.83,18.369014241417087,25.61772730367342,19.527131612840062,21.961749436358122,14.52437740571131,36047
"New York County, New York",2.39,13.009443728544726,12.432972942198159,13.749096883818163,31.372231412646112,29.43625503279284,36061
"Tioga County, New York",0.56,9.188520107084257,36.12366504505023,29.215003310400416,15.982037479489911,9.490774057975186,36107
"Cayuga County, New York",0.49,12.268126643374275,32.96833915643122,32.444260346504336,13.418938875481757,8.900334978208408,36011
"Orleans County, New York",0.31,12.894843412526999,38.81951943844493,32.40078293736501,9.871085313174946,6.013768898488121,36073
"Saratoga County, New York",1.36,5.887561689980371,24.483414141789428,28.2018415658883,23.557677422550825,17.869505179791076,36091
"Rockland County, New York",1.17,12.078089912485442,22.48942307219828,24.8288773469478,22.271742281668132,18.331867386700342,36087
"Columbia County, New York",0.78,9.630311801078806,30.517914309520677,28.583958251107312,16.06586852607113,15.201947112222076,36021
"Lewis County, New York",0.29,10.172535786208023,46.0948130408752,27.42611440701029,8.986012082947804,7.3205246829586885,36049
"Niagara County, New York",0.55,8.802379703466638,34.20093355554523,33.22687524484253,13.584361948647805,10.185449547497791,36063
"Westchester County, New York",1.52,12.212331708606248,19.56099333591608,20.040903480399667,23.980190942972378,24.20558053210563,36119
"Delaware County, New York",0.44,11.782413038190223,37.661153004135244,28.609219168085627,12.39661882753588,9.550595962053029,36025
"Essex County, New York",0.66,8.861508475166197,32.8947826389614,30.67766523963663,15.784344436323137,11.781699209912638,36031
"Montgomery County, New York",0.35,14.181743781603483,35.156227165112675,33.19498436266916,9.958203022243008,7.508841668371671,36057
"Nassau County, New York",1.42,8.754000063788393,23.02112458936222,23.032181244086285,24.74511221441405,20.44758188834905,36059
"Richmond County, New York",0.78,11.459971467940978,30.946637749313314,24.642816947678046,19.704154790982898,13.246419044084771,36085
"Schuyler County, New York",0.47,10.712121212121211,36.54545454545455,30.492424242424242,13.21969696969697,9.03030303030303,36097
"Tompkins County, New York",2.1,5.765949616941554,19.390451975511024,22.132079890267974,22.78277742464287,29.928741092636578,36109
"Chenango County, New York",0.36,11.828893145278311,39.00110279180451,30.84334552208486,10.07023042544547,8.256428115386848,36017
"Cortland County, New York",0.64,9.283204031562892,32.656985611033754,31.184934686028775,14.989059080962802,11.885816590411777,36023
"Jefferson County, New York",0.52,8.922328621371028,33.978637261810995,34.831212259392835,12.857715320095622,9.41010653732952,36045
"Oneida County, New York",0.56,11.420212331820265,32.864344954451,31.032339479780763,14.565636399023099,10.11746683492488,36065
"Suffolk County, New York",0.95,9.584475418440544,27.94832915378783,26.85863416341051,19.47979238350732,16.128768880853794,36103
"Wyoming County, New York",0.32,10.369201207795772,40.697913807301674,32.390886631896784,10.273126544057096,6.268871808948669,36121
"Chemung County, New York",0.52,9.661053720732298,36.01575407620033,30.463443533986418,13.038834465379418,10.82091420370154,36015
"Oswego County, New York",0.37,12.23221749491572,37.64862942769093,31.536263708842284,10.947111005751788,7.635778362799287,36075
"Otsego County, New York",0.76,8.762873681309044,32.02445686220462,28.328363445009646,16.177612950109,14.706693061367679,36077
"Wayne County, New York",0.49,10.556495581876293,34.5882684715172,32.56251175032901,12.756157172400828,9.53656702387667,36117
"Albany County, New York",1.31,7.349309810326196,24.111408299879223,27.258458062970337,21.063620671950865,20.217203154873378,36001
"Broome County, New York",0.7,9.548662272198527,31.081039162466073,31.084916634354403,15.655680496316402,12.629701434664597,36007
"Erie County, New York",0.93,8.610358964321057,27.745284000789173,29.99022856459323,18.774515972180147,14.879612498116396,36029
"Madison County, New York",0.63,8.79848035736651,34.04792719074855,30.20289734062539,15.344633240095188,11.606061871164364,36053
"Sullivan County, New York",0.49,13.830248017928099,33.58505489538803,29.39492664921565,13.058134498408695,10.131635939059528,36105
"Genesee County, New York",0.48,7.94135465891191,36.60487095601599,33.907669938204286,12.606324972737188,8.939779474130619,36037
"Orange County, New York",0.75,10.283166886658531,29.65822396001959,30.259673415851037,17.210420142953204,12.588515594517638,36071
"Bronx County, New York",0.36,28.021386439456485,27.63951665175185,24.522338138176483,12.832188301085228,6.984570469529951,36005
